font code,font type,lowerBegin,lowerEnd,upperBegin,upperEnd,lE,uE
14327,ttf,afii10065,afii10097,afii10017,afii10049,afii10071,afii10023
16017,otf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
16216,otf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
16397,otf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
17007,otf,afii10065,afii10097,afii10017,afii10049,afii10071,afii10023
17654,otf,afii10065,afii10097,afii10017,afii10049,afii10071,afii10023
17896,ttf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
17897,ttf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
18214,otf,afii10065,afii10097,afii10017,afii10049,afii10071,afii10023
18290,ttf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
18294,otf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
18450,ttf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
18847,ttf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
18872,ttf,afii10065,afii10097,afii10017,afii10049,afii10071,afii10023
19046,ttf,afii10065,afii10097,afii10017,afii10049,afii10071,afii10023
19051,ttf,afii10065,afii10097,afii10017,afii10049,afii10071,afii10023
19081,ttf,uni0430,uni044F,uni0410,uni042F,uni0451,uni0401
